NÚM.;AÑO;NIVEL;GÉNERO;GRADO;GRUPO;FECHA NAC;EDAD;NACIONALIDAD;EDO. ORIGEN;MUNICIPIO;NIVEL DE PROCEDENCIA;INGRESO;NIVEL ACTUAL;CATEGORÍA;UNIDAD ACADÉMICA;PROGRAMA EDUCATIVO;SEDE;EDO. SEDE;FECHA DE INGRESO;EDO. CIVIL;PAIS EST;LUGAR BACHILLERATO;INSTITUCIÓN;NUEVO INGRESO;LENGUA;AFRODESCENDIENTE;DISCAPACIDAD;TIPO DISCAPACIDAD
4101;2022;MEDIO SUPERIOR;H;1;6;14/06/2007;15;MEXICANA;PUEBLA;IXTACAMAXTITLAN, PUE.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
4102;2022;LICENCIATURA;H;7;4;23/09/1996;26;MEXICANA;SAN LUIS POTOSÍ;CIUDAD VALLES, S.L.P.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;10/08/2018;;;;;;HUASTECO;;;
4103;2022;LICENCIATURA;M;4;3;5/10/2001;20;MEXICANA;MÉXICO;TEXCOCO, MEX.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;12/09/2020;;;MÉXICO;;NI;;;;
4104;2022;MEDIO SUPERIOR;M;8;10;15/10/2002;19;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CHAPINGO;MÉXICO;9/06/2021;;;;;RI;;SÍ;;
4105;2022;LICENCIATURA;M;4;3;18/01/2004;18;MEXICANA;PUEBLA;ACATENO, PUE.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;20/08/2019;;;MÉXICO;;NI;;;;
4106;2022;MEDIO SUPERIOR;M;3;3;14/08/2005;17;MEXICANA;PUEBLA;HUAUCHINANGO, PUE.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
4107;2022;LICENCIATURA;M;7;1;14/06/2000;22;MEXICANA;PUEBLA;ZACATLAN, PUE.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN IRRIGACIÓN;INGENIERO EN IRRIGACIÓN;CHAPINGO;MÉXICO;28/07/2015;;;;;;;;;
4108;2022;MEDIO SUPERIOR;M;3;1;6/12/2004;17;MEXICANA;OAXACA;SAN MIGUEL HUAUTLA, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;ZAPOTECO;;;
4109;2022;LICENCIATURA;H;4;7;21/08/2004;18;MEXICANA;OAXACA;SAN JUAN LACHAO, OAX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERÍA EN RESTAURACIÓN FORESTAL;CHAPINGO;MÉXICO;19/08/2019;;;MÉXICO;;NI;CHATINO;;;
4110;2022;MEDIO SUPERIOR;H;2;20;30/10/2006;15;MEXICANA;OAXACA;SAN JUAN JUQUILA VIJANOS, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
