NÚM.;AÑO;NIVEL;GÉNERO;GRADO;GRUPO;FECHA NAC;EDAD;NACIONALIDAD;EDO. ORIGEN;MUNICIPIO;NIVEL DE PROCEDENCIA;INGRESO;NIVEL ACTUAL;CATEGORÍA;UNIDAD ACADÉMICA;PROGRAMA EDUCATIVO;SEDE;EDO. SEDE;FECHA DE INGRESO;EDO. CIVIL;PAIS EST;LUGAR BACHILLERATO;INSTITUCIÓN;NUEVO INGRESO;LENGUA;AFRODESCENDIENTE;DISCAPACIDAD;TIPO DISCAPACIDAD
1;2022;MEDIO SUPERIOR;H;8;15;16/10/2004;17;MEXICANA;CHIAPAS;COMITAN DE DOMINGUEZ, CHIS.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;URUSSE;TABASCO;5/08/2022;;;;;NI;;;;
2;2022;MEDIO SUPERIOR;H;8;16;2/02/2001;21;MEXICANA;CAMPECHE;CAMPECHE, CAMP.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CRUPY;YUCATÁN;7/08/2022;;;;;NI;;;SÍ;Discapacidad visual Baja Visión
3;2022;MEDIO SUPERIOR;M;1;6;2/01/2007;15;MEXICANA;CHIAPAS;PALENQUE, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
4;2022;LICENCIATURA;H;6;3;7/03/2000;22;MEXICANA;CAMPECHE;CARMEN, CAMP.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;6/09/2019;;;;;;;;;
5;2022;MEDIO SUPERIOR;H;1;5;2/08/2007;15;MEXICANA;VERACRUZ;ALPATLAHUAC, VER.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;SÍ;;
6;2022;LICENCIATURA;M;5;1;10/05/2001;21;MEXICANA;OAXACA;SAN JUAN BAUTISTA TLACHICHILCO, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;12/04/2020;;;;;;;;;
7;2022;MEDIO SUPERIOR;H;8;24;11/07/2004;18;MEXICANA;GUERRERO;ACATEPEC GUERRERO;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;GUERRERO;GUERRERO;8/08/2022;;;;;NI;;SÍ;;
8;2022;LICENCIATURA;M;4;1;10/11/2003;18;MEXICANA;VERACRUZ;MISANTLA, VER.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;9/06/2021;;;VERACRUZ;;NI;;SÍ;;
9;2022;LICENCIATURA;H;4;1;17/08/2002;20;MEXICANA;VERACRUZ;SOCHIAPA, VER.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITARIO ORIENTE, VERACRUZ;INGENIERÍA EN GESTIÓN DE REDES AGROALIMENTARIAS;CRUO;VERACRUZ;9/06/2021;;;VERACRUZ;;NI;;;;
10;2022;MEDIO SUPERIOR;H;2;12;29/11/2002;19;MEXICANA;MÉXICO;TECAMAC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;MIXTECO;;;
11;2022;MEDIO SUPERIOR;M;1;6;21/09/2007;15;MEXICANA;CHIAPAS;SUCHIAPA, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
12;2022;LICENCIATURA;H;6;1;21/02/1999;23;MEXICANA;MÉXICO;VILLA DE ALLENDE, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERO MECÁNICO AGRÍCOLA;CHAPINGO;MÉXICO;23/08/2019;;;;;;;;;
13;2022;MEDIO SUPERIOR;H;3;9;24/03/2005;17;MEXICANA;MÉXICO;TEMASCALAPA, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/05/2020;;;;;;;;;
14;2022;MEDIO SUPERIOR;H;3;9;21/04/2005;17;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
15;2022;MEDIO SUPERIOR;H;2;6;9/04/2002;20;MEXICANA;GUERRERO;SAN LUIS ACATLAN, GRO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
16;2022;MEDIO SUPERIOR;M;2;16;1/05/2004;18;MEXICANA;VERACRUZ;PLAYA VICENTE, VER.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
17;2022;MEDIO SUPERIOR;M;2;23;30/10/2005;16;MEXICANA;VERACRUZ;PLAYA VICENTE, VER.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
18;2022;LICENCIATURA;M;6;7;5/02/2002;20;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN ADMINISTRACIÓN Y NEGOCIOS;CHAPINGO;MÉXICO;31/07/2017;;;;;;;;;
19;2022;LICENCIATURA;M;4;3;29/09/2003;19;MEXICANA;GUERRERO;COPALILLO, GRO.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;TRONCO COMÚN DE DICEA;CHAPINGO;MÉXICO;9/06/2021;;;GUERRERO;;NI;;;;
20;2022;MEDIO SUPERIOR;M;1;18;24/12/2007;14;MEXICANA;VERACRUZ;PLAYA VICENTE, VER.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
21;2022;MEDIO SUPERIOR;M;1;5;15/07/2007;15;MEXICANA;MÉXICO;TENANCINGO, MEX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
22;2022;MEDIO SUPERIOR;M;1;4;5/02/2007;15;MEXICANA;HIDALGO;ACAXOCHITLAN, HGO.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;SÍ;;
23;2022;MEDIO SUPERIOR;M;3;3;5/07/2003;19;MEXICANA;PUEBLA;ZONGOZOTLA, PUE.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;TOTONACO;;;
24;2022;MEDIO SUPERIOR;H;3;1;5/10/2005;16;MEXICANA;MÉXICO;CHIAUTLA, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
25;2022;LICENCIATURA;H;6;1;28/05/2000;22;MEXICANA;VERACRUZ;ZONGOLICA, VER.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;26/08/2019;;;;;;NÁHUATL;;;
26;2022;MEDIO SUPERIOR;H;1;21;2/11/2006;15;MEXICANA;MÉXICO;TEXCOCO, MEX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
27;2022;MEDIO SUPERIOR;H;8;22;3/11/2004;17;MEXICANA;ZACATECAS;LORETO, ZAC.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CRUCEN;ZACATECAS;7/08/2022;;;;;NI;;;;
28;2022;LICENCIATURA;H;5;2;30/10/1999;22;MEXICANA;ZACATECAS;LORETO, ZAC.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;27/07/2015;;;;;;;;;
29;2022;LICENCIATURA;H;4;1;17/04/2003;19;MEXICANA;PUEBLA;TLACUILOTEPEC, PUE.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;31/07/2018;;;MÉXICO;;RI;TOTONACO;;;
30;2022;LICENCIATURA;M;4;1;11/07/2002;20;MEXICANA;MÉXICO;TEXCOCO, MEX.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;TRONCO COMÚN DE DICEA;CHAPINGO;MÉXICO;12/07/2020;;;MÉXICO;;NI;;;;
31;2022;MEDIO SUPERIOR;H;2;18;14/04/2005;17;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/04/2020;;;;;;;;;
32;2022;MEDIO SUPERIOR;H;8;11;29/03/2004;18;MEXICANA;SONORA;NAVOJOA, SON.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;URUZA;DURANGO;5/08/2022;;;;;NI;;;;
33;2022;LICENCIATURA;H;4;6;19/08/2003;19;MEXICANA;MÉXICO;TENANGO DEL VALLE, MEX.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;9/06/2021;;;MÉXICO;;NI;;;;
34;2022;MEDIO SUPERIOR;M;2;1;1/04/2006;16;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
35;2022;MEDIO SUPERIOR;H;3;17;2/11/2004;17;MEXICANA;MÉXICO;ZUMPAHUACAN, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
36;2022;LICENCIATURA;H;7;3;10/11/1999;22;MEXICANA;MÉXICO;TULTITLAN, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;EXTERNO;DEIS EN SUELOS;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;CHAPINGO;MÉXICO;4/08/2017;;;;;;;;;
37;2022;LICENCIATURA;H;7;2;11/11/1996;25;MEXICANA;CAMPECHE;KALAKMUL, CAMP.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;5/08/2016;;;;;;;;;
38;2022;LICENCIATURA;H;5;1;3/03/2003;19;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;1/08/2018;;;;;;;;;
39;2022;LICENCIATURA;H;6;2;21/01/1999;23;MEXICANA;DURANGO;MAPIMI, DGO.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITARIA DE ZONAS ÁRIDAS;INGENIERÍA EN SISTEMAS AGRÍCOLAS;URUZA;DURANGO;27/08/2019;;;;;;;;;
40;2022;LICENCIATURA;H;4;3;18/01/2002;20;MEXICANA;HIDALGO;CHILCUAUTLA, HGO.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;4/09/2019;;;MÉXICO;;NI;;;;
41;2022;LICENCIATURA;M;6;7;6/03/2002;20;MEXICANA;DURANGO;MAPIMI, DGO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;8/08/2017;;;;;;;;;
42;2022;LICENCIATURA;H;6;2;22/11/2002;19;MEXICANA;MÉXICO;CHICOLOAPAN, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;31/07/2017;;;;;;;;;
43;2022;LICENCIATURA;M;7;3;15/01/2000;22;MEXICANA;MICHOACÁN;MORELIA, MICH.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;CHAPINGO;MÉXICO;27/07/2015;;;;;;;;;
44;2022;MEDIO SUPERIOR;M;3;30;30/03/2005;17;MEXICANA;DURANGO;GOMEZ PALACIO, DGO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;URUZA;DURANGO;12/07/2020;;;;;;;;;
45;2022;LICENCIATURA;M;4;2;14/11/2004;17;MEXICANA;PUEBLA;ATEMPAN, PUE.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;TRONCO COMÚN DE DICEA;CHAPINGO;MÉXICO;20/08/2019;;;MÉXICO;;NI;NÁHUATL;;;
46;2022;LICENCIATURA;H;5;11;12/12/2002;19;MEXICANA;PUEBLA;ATEMPAN, PUE.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;30/07/2018;;;;;;NÁHUATL;;;
47;2022;LICENCIATURA;H;5;5;16/11/2001;20;MEXICANA;PUEBLA;ATEMPAN, PUE.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;12/07/2020;;;;;;NÁHUATL;;;
48;2022;LICENCIATURA;M;7;5;22/01/2000;22;MEXICANA;MORELOS;CUAUTLA, MOR.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;27/07/2015;;;;;;;;;
49;2022;LICENCIATURA;H;5;1;15/12/2001;20;MEXICANA;DURANGO;GOMEZ PALACIO, DGO.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITARIA DE ZONAS ÁRIDAS;INGENIERÍA EN SISTEMAS PECUARIOS;URUZA;DURANGO;12/09/2020;;;;;;;;;
50;2022;LICENCIATURA;M;5;1;23/10/2002;19;MEXICANA;HIDALGO;PACHUCA DE SOTO, HGO.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;12/09/2020;;;;;;NÁHUATL;;;
51;2022;LICENCIATURA;H;5;1;12/09/1997;25;MEXICANA;CDMX;AZCAPOTZALCO, D.F.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN IRRIGACIÓN;INGENIERO EN IRRIGACIÓN;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
52;2022;LICENCIATURA;H;7;4;28/10/1989;32;MEXICANA;CDMX;GUSTAVO A. MADERO, D.F.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;27/07/2015;;;;;;;;;
53;2022;MEDIO SUPERIOR;H;8;12;19/03/1997;25;MEXICANA;DURANGO;DURANGO, DGO.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;URUZA;DURANGO;5/08/2022;;;;;NI;;;;
54;2022;MEDIO SUPERIOR;H;2;8;23/10/2005;16;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/04/2020;;;;;;;;;
55;2022;LICENCIATURA;M;4;4;6/10/2003;18;MEXICANA;OAXACA;SAN JACINTO TLACOTEPEC, OAX.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;9/06/2021;;;OAXACA;;NI;;;;
56;2022;LICENCIATURA;M;6;8;20/03/2001;21;MEXICANA;NAYARIT;SAN PEDRO LAGUNILLAS, NAY.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERÍA EN RESTAURACIÓN FORESTAL;CHAPINGO;MÉXICO;23/07/2016;;;;;;;;;
57;2022;MEDIO SUPERIOR;M;2;19;12/04/2005;17;MEXICANA;TLAXCALA;TEOLOCHOLCO, TLAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
58;2022;LICENCIATURA;H;6;7;25/10/2001;20;MEXICANA;TLAXCALA;TEOLOCHOLCO, TLAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN ADMINISTRACIÓN Y NEGOCIOS;CHAPINGO;MÉXICO;23/08/2019;;;;;;;;;
59;2022;MEDIO SUPERIOR;H;1;3;21/06/2003;19;MEXICANA;CHIAPAS;COMITAN DE DOMINGUEZ, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
60;2022;MEDIO SUPERIOR;M;1;25;21/03/2006;16;MEXICANA;OAXACA;SANTA MARIA AYOQUEZCO DE ALDAMA, OAX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
61;2022;LICENCIATURA;H;6;2;9/10/2000;21;MEXICANA;SAN LUIS POTOSÍ;AQUISMON, S.L.P.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS;INGENIERO AGRÓNOMO ESPECIALISTA EN SUELOS;CHAPINGO;MÉXICO;22/07/2016;;;;;;;;;
62;2022;MEDIO SUPERIOR;M;3;16;15/03/2002;20;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
63;2022;LICENCIATURA;M;4;2;20/10/2003;18;MEXICANA;PUEBLA;IZUCAR DE MATAMOROS, PUE.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;31/07/2018;;;MÉXICO;;RI;;;;
64;2022;MEDIO SUPERIOR;M;2;7;22/11/2005;16;MEXICANA;CHIAPAS;IXTAPA, CHIS.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
65;2022;LICENCIATURA;H;7;2;1/04/1999;23;MEXICANA;CHIAPAS;IXTAPA, CHIS.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERO MECÁNICO AGRÍCOLA;CHAPINGO;MÉXICO;22/07/2014;;;;;;;;;
66;2022;LICENCIATURA;H;4;4;22/07/2003;19;MEXICANA;YUCATÁN;MAXCANU, YUC.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;TRONCO COMÚN DE DICEA;CHAPINGO;MÉXICO;9/06/2021;;;YUCATÁN;;NI;;;;
67;2022;LICENCIATURA;H;4;2;12/02/2002;20;MEXICANA;VERACRUZ;IXHUATLAN DE MADERO, VER.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;30/07/2018;;;MÉXICO;;RI;TEPEHUA;;;
68;2022;LICENCIATURA;M;5;2;28/01/2003;19;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;1/08/2018;;;;;;NÁHUATL;;;
69;2022;LICENCIATURA;M;6;1;21/07/2000;22;MEXICANA;OAXACA;SAN MIGUEL CHIMALAPA, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERO FORESTAL;CHAPINGO;MÉXICO;30/08/2019;;;;;;;;;
70;2022;LICENCIATURA;M;5;9;21/02/2002;20;MEXICANA;MÉXICO;OCUILAN, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;30/07/2018;;;;;;TLAHUICA;;;
71;2022;LICENCIATURA;M;7;1;29/03/2000;22;MEXICANA;MÉXICO;JILOTEPEC, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;2/08/2018;;;;;;;;;
72;2022;LICENCIATURA;H;4;5;20/12/2002;19;MEXICANA;MORELOS;TLAYACAPAN, MOR.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;TRONCO COMÚN DE DICEA;CHAPINGO;MÉXICO;20/08/2019;;;MÉXICO;;NI;;;;
73;2022;LICENCIATURA;H;6;1;4/09/1999;23;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN AGROECOLOGÍA;INGENIERÍA EN AGROECOLOGÍA;CHAPINGO;MÉXICO;21/07/2016;;;;;;;;;
74;2022;LICENCIATURA;M;4;3;3/12/2002;19;MEXICANA;MORELOS;JONACATEPEC, MOR.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;MORELOS;;NI;;;;
